"Gene_name","log2FoldChange","pvalue","padj","Comparison","neg_log10_pvalue"
"MCM9",-0.0863171324448478,0.188640689213289,0.329590246810888,"HUVEC_IR",0.724364625517744
"CDKN1A",1.87366153030834,1.04040510424861e-294,2.27323742777843e-292,"IMR90_IR",293.982797525813
"GDF15",1.70061070652285,5.81987856903083e-132,3.7461142702713e-130,"IMR90_IR",131.23508607675
"PTCHD4",2.85564218990809,8.05046437626679e-92,3.24416006066277e-90,"IMR90_IR",91.0941790674292
"CDKN2A",2.11572642961744,2.92195372281433e-57,7.1446868442039e-56,"IMR90_IR",56.5343266665966
"PURPL",3.35346667580905,7.63687254409362e-47,1.47509940397513e-45,"IMR90_IR",46.117084457513
"MCM7",0.78311331886117,5.29665502239248e-29,6.35171883249241e-28,"IMR90_IR",28.2759983122731
"MCM5",0.972016271171172,3.20065445265782e-27,3.6350398876728e-26,"IMR90_IR",26.4947612103934
"MCM4",0.680581648997002,1.71155009891366e-20,1.51027332922296e-19,"IMR90_IR",19.7666103840731
"MCM10",1.29803836106331,2.0040879235569e-19,1.69855366503313e-18,"IMR90_IR",18.6980832289735
"MKI67",0.715205232826708,5.58124356169688e-15,3.84170221576222e-14,"IMR90_IR",14.2532690247521
"MCM3",0.520375465302074,1.15904160030851e-12,7.05797360085589e-12,"IMR90_IR",11.9359009760638
"MCM8",1.03136106460061,3.31713060567221e-12,1.95934480418376e-11,"IMR90_IR",11.4792374286294
"MCM2",0.667072429045655,2.76989889751814e-11,1.54310905598344e-10,"IMR90_IR",10.5575360825786
"MCM6",0.433490745120787,7.92837409800605e-05,0.000254751966430264,"IMR90_IR",4.10081586598158
"MCM3AP",0.14914644822915,0.034474405201764,0.0698964096466288,"IMR90_IR",1.46250321811281
"MCMBP",0.12351649081375,0.0840425752721685,0.151679143125338,"IMR90_IR",1.07550064820616
"MCMDC2",0.398117635851262,0.264077045280901,0.389307267744347,"IMR90_IR",0.578269347907445
"MCM9",-0.127754902661915,0.347703132463803,0.480665068653235,"IMR90_IR",0.458791396732283
"LMNB1",0.0591256555547973,0.471529667628809,0.60340393123678,"IMR90_IR",0.326490977195704
"PTCHD4",3.42946914757835,6.99771803686753e-99,5.58939763060033e-97,"IMR90_RE",98.1550435607813
"PURPL",3.94150301510748,1.43177911785458e-69,6.91332199877202e-68,"IMR90_RE",68.8441239759499
"CDKN2A",3.04252388392593,1.32511629527997e-22,1.77105588574486e-21,"IMR90_RE",21.8777460053634
"CDKN1A",1.46091060549199,5.98214465247878e-12,4.48765598364717e-11,"IMR90_RE",11.2231430896307
"MCM10",0.91011380041189,7.87656311181189e-08,4.1557424228308e-07,"IMR90_RE",7.10366324281192
"MCM5",0.630882509025555,2.49643803536233e-07,1.25129907311727e-06,"IMR90_RE",6.60267920919397
"MCM8",0.623985450487029,0.000443370623503768,0.00142720519147804,"IMR90_RE",3.35323308540479
"MCM4",0.330230643413119,0.000597924631277025,0.00187852132694899,"IMR90_RE",3.22335355561588
"LMNB1",-0.410780331705824,0.00187298112355328,0.00537421507723893,"IMR90_RE",2.72746659954839
"MCM2",0.298939780722029,0.0140956910020089,0.0333437172051335,"IMR90_RE",1.85091362919262
"MCM3AP",0.212097949275049,0.0142772075505647,0.0337139918695465,"IMR90_RE",1.84535672701168
"MCM7",0.234349417219542,0.0356552417404923,0.0753095551303289,"IMR90_RE",1.4478766147145
"MCMBP",0.100999122020141,0.256529114108914,0.390755415071972,"IMR90_RE",0.59086333862501
"MKI67",0.139441304624578,0.261381439612732,0.396557263640126,"IMR90_RE",0.582725254398761
"GDF15",-0.443146367504163,0.38331115661829,0.529485331422018,"IMR90_RE",0.416448540027551
"MCM9",-0.122242424260157,0.411601864288928,0.558480636199471,"IMR90_RE",0.385522666833413
"MCM3",0.038729197258543,0.690329065081258,0.800424355895565,"IMR90_RE",0.16094384102764
"MCM6",-0.0403075655848475,0.755700951449907,0.848215191683617,"IMR90_RE",0.121650030992249
"MCMDC2",0.127864734845856,0.756281020355922,0.848441581321923,"IMR90_RE",0.121316798530403
"MCM10",-3.85770637568331,9.81059925869047e-07,0.000102795756323445,"WI38_Dox",6.00830446389489
"MKI67",-3.0140897528932,5.79233780459295e-06,0.000434221269242954,"WI38_Dox",5.23714611835913
"LMNB1",-4.29361766549813,1.01466577743475e-05,0.000663538646226952,"WI38_Dox",4.99367698722758
"MCM5",-2.78546901783193,0.000127390090199104,0.00473001969810417,"WI38_Dox",3.89486435488323
"PTCHD4",2.56225035019667,0.000138912029157345,0.00504276187736284,"WI38_Dox",3.85726014468388
"MCM7",-2.54865440645259,0.00017106889935383,0.00589046893819609,"WI38_Dox",3.76682893883251
