"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0055007",0.848046309696093,0.909384363045791,0.0383995813369433,-0.296129868975617,-0.738711204301665,25,"CACYBP;BMP2;NOX4;CTCF","GO:0055007","cardiac muscle cell differentiation",0.909384363045791,25
"GO:0010975",0.848993288590604,0.90984388051963,0.0785029047348687,0.263461847855729,0.801026246075495,33,"PLXNB2;PSEN1;IL1RAPL1;PTEN;PTPRF;ZNF804A;DISC1;FBXO7;GATA3","GO:0010975","regulation of neuron projection development",0.90984388051963,33
"GO:0003016",0.849397590361446,0.909886650850506,0.0728938564822936,0.279604584694098,0.747553940041359,17,"HOXA5;DCAF11;SELENON","GO:0003016","respiratory system process",0.909886650850506,17
"GO:0090336",0.851330203442879,0.91156583104497,0.0418238690062304,-0.327532351000018,-0.69834720491463,12,"HNRNPU;MAPK14;NAPEPLD;PTGS2","GO:0090336","positive regulation of brown fat cell differentiation",0.91156583104497,12
"GO:0035278",0.852112676056338,0.912012581274186,0.0369160593316849,-0.28099746159906,-0.749947303512721,35,"EIF6;AGO2;EIF4G1;EIF4E2","GO:0035278","miRNA-mediated gene silencing by inhibition of translation",0.912012581274186,35
"GO:0002682",0.853242320819113,0.912337853471753,0.0791316651768349,0.251931564887362,0.792318816253669,38,"ZBTB20;SIAE;ISG15;CEACAM1;BCL6;ZBTB37","GO:0002682","regulation of immune system process",0.912337853471753,38
"GO:0015813",0.853512705530643,0.912337853471753,0.0395979123961192,-0.307617175139338,-0.699949636768879,16,"SLC1A4;SLC25A12;SLC25A22;SLC25A13","GO:0015813","L-glutamate transmembrane transport",0.912337853471753,16
"GO:1904179",0.853125,0.912337853471753,0.0416556773979467,-0.335602824642355,-0.690985034729476,10,"PARP1;SIRT1;PRKAA1","GO:1904179","positive regulation of adipose tissue development",0.912337853471753,10
"GO:0060020",0.854263565891473,0.912749732148484,0.0412376090540065,-0.329697354984268,-0.695145955046207,11,"PTPN11;MAP2K1;MAPK1","GO:0060020","Bergmann glial cell differentiation",0.912749732148484,11
"GO:0050905",0.856125356125356,0.9139568252437,0.0372254009247509,-0.272028318302447,-0.712535494224909,31,"ZMPSTE24;LARGE1;ELP6;POMK;UCHL1;FGF12;UBA5;OPA3;WASHC4;GLRA1;AARS1;GMPPA","GO:0050905","neuromuscular process",0.9139568252437,31
"GO:0051262",0.856104651162791,0.9139568252437,0.0381628909049257,-0.288078991728606,-0.709016133071794,23,"HOMER1;NUDT21;SHMT2;CPSF6","GO:0051262","protein tetramerization",0.9139568252437,23
"GO:0043651",0.857364341085271,0.914888358841847,0.0410713282497468,-0.327649845867707,-0.69082891197995,11,"ACSL1;ELOVL1","GO:0043651","linoleic acid metabolic process",0.914888358841847,11
"GO:0006779",0.858914728682171,0.915848847122267,0.0409883873374721,-0.324656564460774,-0.6845177680448,11,"RSAD1;CPOX;SPTA1;HMBS","GO:0006779","porphyrin-containing compound biosynthetic process",0.915848847122267,11
"GO:0009749",0.860244233378562,0.915848847122267,0.0347156757446657,-0.265972373839315,-0.755355292844196,49,"CASP3;SELENOT;EIF2B5;EIF2B3;SELENOS;RMI1;ELAVL1;EIF2B1;GCKR","GO:0009749","response to glucose",0.915848847122267,49
"GO:0031589",0.859011627906977,0.915848847122267,0.0380056241581377,-0.285223543449738,-0.701988342240115,23,"CDH11;ITGA6;ITGB3","GO:0031589","cell-substrate adhesion",0.915848847122267,23
"GO:0034101",0.86046511627907,0.915848847122267,0.0409055783172035,-0.322816914229375,-0.680638982250119,11,"PRDX1;RPS17;RPS24;IREB2;GPI","GO:0034101","erythrocyte homeostasis",0.915848847122267,11
"GO:0045176",0.859504132231405,0.915848847122267,0.0678338263479455,0.290034462256656,0.704951544862012,12,"ATP8B1","GO:0045176","apical protein localization",0.915848847122267,12
