"Gene_name","log2FoldChange","pvalue","padj","Comparison"
"CLDN1",6.29327686757693,9.43602660586612e-286,5.17072313753543e-283,"IMR90_RE"
"CCND3",2.2014125059873,3.97454771351056e-99,3.21829098877833e-97,"IMR90_RE"
"PTCHD4",3.42946914757835,6.99771803686753e-99,5.58939763060033e-97,"IMR90_RE"
"ARRDC4",2.22727805740192,7.11939213039906e-70,3.46599662745027e-68,"IMR90_RE"
"PAM",0.877323556115646,4.70371637411275e-27,7.65954864707801e-26,"IMR90_RE"
"GPR155",1.03996522076659,1.72835430364875e-21,2.17433061702485e-20,"IMR90_RE"
"SARAF",0.710663562562661,3.75029909919635e-20,4.4250524624118e-19,"IMR90_RE"
"TMED4",0.629284929678935,7.49402311311804e-15,6.81782496580696e-14,"IMR90_RE"
"TMEM59",0.525130435067831,1.74959485070839e-12,1.37099113625679e-11,"IMR90_RE"
"TNFRSF10C",1.40847530763199,7.22044368888486e-06,3.05614001511036e-05,"IMR90_RE"
"TNFSF13B",0.859917088154517,0.0160031177670256,0.0372941809855033,"IMR90_RE"
"RND3",0.586403201134804,0.0210631044700241,0.0474892288419461,"IMR90_RE"
"ARRDC4",2.90175412010773,2.56772960350345e-23,4.17814919365368e-20,"WI38_Dox"
"TNFSF13B",1.84856775501169,3.0175900003563e-09,6.95604788248799e-07,"WI38_Dox"
"TNFRSF10C",2.22733568583029,4.35280236713742e-09,9.71025960320608e-07,"WI38_Dox"
"RND3",0.855067870724786,1.25001227377624e-07,1.73706347130585e-05,"WI38_Dox"
"PAM",1.08902219860058,2.07992006953719e-07,2.67009283035528e-05,"WI38_Dox"
"GPR155",1.34132503292043,1.06626750225412e-06,0.000109647180845181,"WI38_Dox"
"PTCHD4",2.56225035019667,0.000138912029157345,0.00504276187736284,"WI38_Dox"
"TMED4",0.53053787577589,0.000366826594066811,0.0105809773149907,"WI38_Dox"
"TMEM59",0.794215046904909,0.000427975586462079,0.0118505111838979,"WI38_Dox"
"CCND3",1.15835938759024,0.000809622309100477,0.0191253392949081,"WI38_Dox"
"SARAF",0.932216640199628,0.00132163345617543,0.0280575784073098,"WI38_Dox"
"CLDN1",1.79154645149162,0.00193955437750434,0.0377830656271303,"WI38_Dox"
"ARRDC4",4.38897724601552,2.30832335687215e-92,1.5370717882231e-89,"WI38_HRAS"
"CLDN1",3.06722489842439,4.77505794793331e-50,8.57994539215953e-48,"WI38_HRAS"
"TNFRSF10C",2.74158220234089,1.21176241588381e-26,6.65881094553625e-25,"WI38_HRAS"
"TMED4",1.16230372408231,9.68027281875943e-09,1.08168224111047e-07,"WI38_HRAS"
"GPR155",1.24612238491266,1.87989816298507e-07,1.69768226605433e-06,"WI38_HRAS"
"SARAF",1.06644099017707,1.53237416224498e-06,1.17166332432375e-05,"WI38_HRAS"
"PTCHD4",1.50809765996448,1.89498932516743e-06,1.41639347381283e-05,"WI38_HRAS"
"TMEM59",0.937484092987188,0.000307777174705559,0.00136388241051749,"WI38_HRAS"
"RND3",0.781944454530898,0.00111871733739454,0.00423611983920595,"WI38_HRAS"
"CCND3",0.653833215406084,0.00416802257152588,0.013098838286972,"WI38_HRAS"
"TNFSF13B",1.68401751911493,0.00511239579249252,0.0156053176138642,"WI38_HRAS"
"PAM",0.485522433773916,0.014042081991588,0.0365921657791841,"WI38_HRAS"
"ARRDC4",4.48356422136197,1.05562631046375e-71,8.40108280821004e-69,"WI38_IR"
"CLDN1",3.39349947544926,3.76586969759835e-62,2.11154025703293e-59,"WI38_IR"
"PTCHD4",4.02813341837578,1.4269635484706e-58,7.18461585802414e-56,"WI38_IR"
"TMEM59",1.4498835980716,4.18864545464731e-13,1.94610305106598e-11,"WI38_IR"
"GPR155",1.72997384408261,5.35087437494985e-13,2.46289965866395e-11,"WI38_IR"
"SARAF",1.23804112423239,1.70557856692575e-10,5.70940689614995e-09,"WI38_IR"
"TNFRSF10C",2.31907610482719,2.76525658865236e-10,8.97653227613714e-09,"WI38_IR"
"PAM",1.19890434060479,9.21340573045292e-10,2.7753837945788e-08,"WI38_IR"
"RND3",1.09779430457624,1.37837373187229e-08,3.48778034246371e-07,"WI38_IR"
"CCND3",1.28768110875313,5.24793476420429e-08,1.20438882388543e-06,"WI38_IR"
"TMED4",1.03495101131397,1.99106775932938e-07,4.09139745934535e-06,"WI38_IR"
"TNFSF13B",1.91405383336718,0.00529945057963807,0.0299683090572984,"WI38_IR"
"ARRDC4",2.23861944265412,6.42037811639502e-34,1.18393930576615e-31,"WI38_RE"
"PTCHD4",2.40331141381416,6.54499467331115e-33,1.12205752430578e-30,"WI38_RE"
"CLDN1",1.78656147758433,5.16765705306771e-16,2.61288171365248e-14,"WI38_RE"
"CCND3",1.74177673518134,3.67619612488215e-14,1.49666878969228e-12,"WI38_RE"
"TNFSF13B",2.24488973126034,4.10184328051336e-07,5.96333563250085e-06,"WI38_RE"
"GPR155",0.976696062979271,1.60570045332158e-06,2.0461957460911e-05,"WI38_RE"
"PAM",0.741655368476853,3.95405232855388e-05,0.000357215826668532,"WI38_RE"
"SARAF",0.676588061804172,0.00042874136962236,0.00285558590738056,"WI38_RE"
"TMED4",0.6689472475585,0.000708565309866403,0.00441224664009885,"WI38_RE"
"TMEM59",0.608555348677321,0.000735510512830597,0.00453881965510535,"WI38_RE"
"TNFRSF10C",1.30032062424727,0.000909687127823641,0.00539810014412168,"WI38_RE"
"RND3",0.56339625951901,0.00212876345182813,0.0109966066824191,"WI38_RE"
