"Gene_name","log2FoldChange","pvalue","padj","Comparison"
"H1-1",-2.50768117455704,5.81239614287395e-05,0.00256023092522578,"WI38_Dox"
"EML4",-0.661331073877169,0.000101404197343742,0.00396752886410551,"WI38_Dox"
"H2BC9",-3.50727425717292,0.00014722975676099,0.00526184693995155,"WI38_Dox"
"PARP1",-1.02730843612017,0.000217889040306891,0.00709087839172848,"WI38_Dox"
"CDKN2C",-3.38276614728158,0.000299952251014915,0.00905816503010325,"WI38_Dox"
"NIBAN1",-1.86027595210515,0.000376617984427025,0.0108070608767846,"WI38_Dox"
"VSIG10",-0.522205304410589,0.000564434054509932,0.0146742244509904,"WI38_Dox"
"LIG3",-0.695171069070519,0.000765691201347542,0.018423059318509,"WI38_Dox"
"CDCA7L",-1.23935891821881,0.000807656547273342,0.0191253392949081,"WI38_Dox"
"GLUL",-0.785031436363356,0.00214075222707859,0.0407036051899507,"WI38_Dox"
"H2AC20",-2.86996707429571,0.00215324025058517,0.040823952721464,"WI38_Dox"
"HNRNPH1",-0.680479793210502,0.00228219024242585,0.0427999637193111,"WI38_Dox"
"H1-3",-3.92166295661153,2.20618294321365e-68,7.23883794700825e-66,"WI38_HRAS"
"H1-4",-3.53189164429838,1.39212238354753e-46,2.05997717408602e-44,"WI38_HRAS"
"SLFN11",-3.04902802437147,2.46985961440299e-45,3.27003635497566e-43,"WI38_HRAS"
"H2BC9",-3.26334984159131,4.78852199367062e-42,5.42060689683514e-40,"WI38_HRAS"
"H2AC20",-2.78552187870362,4.75742008029382e-37,4.34306413781661e-35,"WI38_HRAS"
"CDKN2C",-3.35185144394995,2.20045406778433e-32,1.5916383416817e-30,"WI38_HRAS"
"H3C11",-3.21093943463437,4.45593043058254e-31,3.05703833176935e-29,"WI38_HRAS"
"H1-1",-3.54010470013371,1.81987816566729e-28,1.11658649514112e-26,"WI38_HRAS"
"ITPRIPL1",-4.56266545901528,1.00296694237199e-23,4.63411664802077e-22,"WI38_HRAS"
"GLUL",-1.63983128774351,2.40818572231185e-14,5.34522791697453e-13,"WI38_HRAS"
"CBX2",-1.99358315293213,3.50062183438705e-09,4.20446038888715e-08,"WI38_HRAS"
"HNRNPH1",-0.778206213991507,0.000203936799212051,0.000952967829548161,"WI38_HRAS"
"EML4",-0.756757605442539,0.000247694821346664,0.00112697161480878,"WI38_HRAS"
"VSIG10",-0.806432021124117,0.000428230524344418,0.00182410895035891,"WI38_HRAS"
"PTMA",-0.563493287783318,0.00501901873890825,0.0153637891088268,"WI38_HRAS"
"LIG3",-0.640355395307402,0.00510622153484798,0.0155948813636798,"WI38_HRAS"
"NIBAN1",-0.600604076921982,0.00543710586973621,0.0164031701392915,"WI38_HRAS"
"CDCA7L",-0.645068531753613,0.00720846111595989,0.0208695089086102,"WI38_HRAS"
"PARP1",-0.534861320398309,0.0119145236057898,0.0318960404913186,"WI38_HRAS"
"PHB2",-0.506419305716366,0.0138635956392072,0.0362145846627036,"WI38_HRAS"
"H1-1",-3.3845543845453,7.09693854530438e-44,2.05986553942593e-41,"WI38_IR"
"H1-3",-3.24055784216261,4.17885655400206e-41,1.07392260462276e-38,"WI38_IR"
"H2BC9",-2.87150528849237,4.55270510411853e-37,9.8526129494481e-35,"WI38_IR"
