"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048388","GO:0048388","endosomal lumen acidification",13,0.896743271768449,1.70949237305963,0.000729670501133788,0.00826188483466597,0.00617038723071895,2877,"tags=92%, list=8%, signal=85%","ENSG00000182220/ENSG00000047249/ENSG00000178301/ENSG00000071553/ENSG00000033627/ENSG00000128524/ENSG00000114573/ENSG00000117410/ENSG00000219200/ENSG00000116857/ENSG00000109572/ENSG00000185883"
"GO:1905523","GO:1905523","positive regulation of macrophage migration",26,0.806475264647358,1.74185061297636,0.000734605814047834,0.00827147065947366,0.00617754640228488,2215,"tags=31%, list=6%, signal=29%","ENSG00000120337/ENSG00000108691/ENSG00000115310/ENSG00000271503/ENSG00000174600/ENSG00000095970/ENSG00000184371/ENSG00000174574"
"GO:0010812","GO:0010812","negative regulation of cell-substrate adhesion",63,0.694235737525939,1.72427361340122,0.000732136550807337,0.00827147065947366,0.00617754640228488,1753,"tags=17%, list=5%, signal=17%","ENSG00000177076/ENSG00000111846/ENSG00000262406/ENSG00000174804/ENSG00000170381/ENSG00000147889/ENSG00000101384/ENSG00000151490/ENSG00000189058/ENSG00000145715/ENSG00000106366"
"GO:0010959","GO:0010959","regulation of metal ion transport",321,0.493874870144362,1.47622798378598,0.00073368822164238,0.00827147065947366,0.00617754640228488,4578,"tags=24%, list=13%, signal=21%","ENSG00000083454/ENSG00000108691/ENSG00000165091/ENSG00000169248/ENSG00000072954/ENSG00000169245/ENSG00000198947/ENSG00000181754/ENSG00000135919/ENSG00000106537/ENSG00000167323/ENSG00000133872/ENSG00000254087/ENSG00000203805/ENSG00000138798/ENSG00000109501/ENSG00000271503/ENSG00000069424/ENSG00000057294/ENSG00000140464/ENSG00000095970/ENSG00000177098/ENSG00000110680/ENSG00000164266/ENSG00000163823/ENSG00000187688/ENSG00000171867/ENSG00000198363/ENSG00000178623/ENSG00000170385/ENSG00000166710/ENSG00000103942/ENSG00000113739/ENSG00000136867/ENSG00000151320/ENSG00000100739/ENSG00000080709/ENSG00000153956/ENSG00000139644/ENSG00000058404/ENSG00000072062/ENSG00000088992/ENSG00000101188/ENSG00000107175/ENSG00000198929/ENSG00000148834/ENSG00000171316/ENSG00000144935/ENSG00000220205/ENSG00000147571/ENSG00000148660/ENSG00000135404/ENSG00000064270/ENSG00000010704/ENSG00000143933/ENSG00000171517/ENSG00000276045/ENSG00000175318/ENSG00000163485/ENSG00000170290/ENSG00000166257/ENSG00000188580/ENSG00000104783/ENSG00000105851/ENSG00000114353/ENSG00000150594/ENSG00000151150/ENSG00000095209/ENSG00000159167/ENSG00000197386/ENSG00000196632/ENSG00000152683/ENSG00000092051/ENSG00000144357/ENSG00000100311/ENSG00000070159"
"GO:0007096","GO:0007096","regulation of exit from mitosis",17,-0.859817019671717,-1.84450261633396,0.000737888957097677,0.00829305200115889,0.00619366442351384,1447,"tags=41%, list=4%, signal=40%","ENSG00000086827/ENSG00000094880/ENSG00000111276/ENSG00000184445/ENSG00000089685/ENSG00000011426/ENSG00000175063"
"GO:0009582","GO:0009582","detection of abiotic stimulus",136,0.58440036935926,1.60295972618275,0.000742438619224335,0.00832876151584564,0.00622033406825564,4375,"tags=29%, list=12%, signal=26%","ENSG00000198691/ENSG00000165091/ENSG00000112599/ENSG00000122733/ENSG00000134376/ENSG00000135919/ENSG00000124818/ENSG00000188107/ENSG00000125966/ENSG00000163624/ENSG00000118402/ENSG00000125388/ENSG00000095397/ENSG00000134343/ENSG00000189077/ENSG00000115255/ENSG00000174343/ENSG00000242866/ENSG00000127928/ENSG00000104237/ENSG00000164171/ENSG00000101188/ENSG00000116745/ENSG00000006128/ENSG00000177666/ENSG00000182389/ENSG00000139304/ENSG00000164199/ENSG00000163485/ENSG00000214415/ENSG00000143919/ENSG00000093010/ENSG00000144285/ENSG00000109103/ENSG00000158683/ENSG00000277481/ENSG00000186318/ENSG00000140090/ENSG00000054277/ENSG00000155886"
"GO:0061387","GO:0061387","regulation of extent of cell growth",97,0.636558089097692,1.68007326150677,0.0007520711319177,0.00840574530314644,0.00627782939621521,3488,"tags=22%, list=10%, signal=20%","ENSG00000143199/ENSG00000130558/ENSG00000115310/ENSG00000130827/ENSG00000162490/ENSG00000078018/ENSG00000176697/ENSG00000198910/ENSG00000138623/ENSG00000091129/ENSG00000187688/ENSG00000135622/ENSG00000087250/ENSG00000065320/ENSG00000006837/ENSG00000039068/ENSG00000155256/ENSG00000171517/ENSG00000127603/ENSG00000137872/ENSG00000135333"
"GO:0070661","GO:0070661","leukocyte proliferation",314,0.507237636093552,1.51916361875352,0.00075098823960705,0.00840574530314644,0.00627782939621521,4858,"tags=24%, list=14%, signal=21%","ENSG00000102524/ENSG00000105246/ENSG00000112576/ENSG00000120337/ENSG00000125657/ENSG00000204592/ENSG00000137033/ENSG00000168811/ENSG00000272398/ENSG00000162692/ENSG00000254087/ENSG00000160223/ENSG00000271503/ENSG00000124762/ENSG00000178562/ENSG00000125347/ENSG00000095970/ENSG00000136244/ENSG00000147889/ENSG00000113494/ENSG00000101017/ENSG00000015475/ENSG00000144802/ENSG00000130303/ENSG00000198223/ENSG00000110651/ENSG00000131203/ENSG00000131507/ENSG00000171867/ENSG00000124508/ENSG00000186265/ENSG00000158473/ENSG00000184371/ENSG00000090776/ENSG00000081237/ENSG00000107099/ENSG00000162736/ENSG00000196950/ENSG00000168918/ENSG00000006128/ENSG00000116833/ENSG00000163513/ENSG00000104312/ENSG00000115457/ENSG00000134242/ENSG00000242574/ENSG00000206503/ENSG00000108700/ENSG00000133216/ENSG00000177697/ENSG00000185129/ENSG00000105851/ENSG00000160685/ENSG00000164400/ENSG00000154447/ENSG00000167815/ENSG00000177628/ENSG00000122025/ENSG00000139636/ENSG00000204632/ENSG00000106400/ENSG00000150782/ENSG00000017427/ENSG00000012124/ENSG00000124479/ENSG00000146072/ENSG00000103855/ENSG00000158092/ENSG00000091181/ENSG00000152804/ENSG00000164136/ENSG00000117335/ENSG00000135046/ENSG00000101096"
"GO:0048247","GO:0048247","lymphocyte chemotaxis",38,0.76337462071687,1.74508212735871,0.000755135397820917,0.0084227669083428,0.00629054197905215,690,"tags=18%, list=2%, signal=18%","ENSG00000108691/ENSG00000006606/ENSG00000169248/ENSG00000169245/ENSG00000173432/ENSG00000271503/ENSG00000108688"
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity",57,0.701294403649608,1.72137786529469,0.00075775757652911,0.0084227669083428,0.00629054197905215,5122,"tags=40%, list=14%, signal=35%","ENSG00000204592/ENSG00000143217/ENSG00000134539/ENSG00000204520/ENSG00000073008/ENSG00000101665/ENSG00000079385/ENSG00000234745/ENSG00000131507/ENSG00000130202/ENSG00000081237/ENSG00000168918/ENSG00000134545/ENSG00000010704/ENSG00000206503/ENSG00000123838/ENSG00000177885/ENSG00000112679/ENSG00000204632/ENSG00000117335/ENSG00000170027/ENSG00000256660/ENSG00000135077"
